"","x"
"Pos.Neg",1.94945148089794
"LoveA",3.17694160233651
"OptimismA",2.91211206129797
"AgressivenessA",2.18661913969832
"ContemptA",2.96166441828003
"SubmissionA",2.76263620756876
"AweA",2.50935220609971
"DissaprovalA",3.00420484259149
"RemorseA",2.60437416910087
"Agressiveness",0.470354105307721
"Anger",2.7043905572376
"Anticipation",1.47518448791649
"Awe",0.146016039002346
"Contempt",2.19075792716305
"Disgust",2.71391231564304
"Dissaproval",0.0807400521069842
"Fear",3.07421100659285
"Joy",2.82591714039102
"Love",1.77280039447815
"Negative",3.24046157971824
"Optimism",2.43233167881623
"Positive",1.87221325068723
"Remorse",2.21690679159075
"Sadness",2.17510999482397
"Submission",0.618499203134463
"Surprise",0.840949289802909
"Trust",1.631625999233
"Action",0.574559626974703
"Adventure",0.318732236743117
"Animation",0.0316415280079312
"Children",0.101510552536033
"Comedy",0.496443488080315
"Crime",0.527639003468597
"Drama",0.504993524180469
"Fantasy",0.112953301159853
"Film.Noir",0.145304861626365
"Horror",0.146869702895088
"Musical",0.243517346607165
"Mystery",0.321333028760086
"Romance",1.19647498104762
"Sci.Fi",0.367859169660067
"Thriller",0.392045393783915
"War",0.0672857398281398
"Western",0.233303937369301
"Actor.1",8.81232241150094
"Actor.2",9.99153659712107
"Actor.3",9.9782168173758
"directors",7.15661436975922
"country",1.72910443999666
