"","x"
"Pos.Neg",2.10824410102104
"LoveA",3.60430294537806
"OptimismA",3.30064458451384
"AgressivenessA",2.91080996359277
"ContemptA",3.27215612843174
"SubmissionA",2.66871723605546
"AweA",3.03520652737818
"DissaprovalA",1.27949730781314
"RemorseA",1.41614349463323
"Agressiveness",0.348251783363417
"Anger",2.87239338824345
"Anticipation",1.50662762186605
"Awe",0.418475441606228
"Contempt",2.27141969241176
"Disgust",1.89112934409823
"Dissaproval",0.728073026717665
"Fear",3.06891657703173
"Joy",2.96028798563864
"Love",1.75396441631784
"Negative",2.35826759354811
"Optimism",3.06006439666012
"Positive",2.2538024439956
"Remorse",2.42435972521555
"Sadness",0.916300068109669
"Submission",1.01012683814592
"Surprise",1.08028262239267
"Trust",1.90739688321874
"Action",0.320466838703676
"Adventure",0.104618943789344
"Animation",0.582663249342822
"Children",0.377603686878925
"Comedy",0.525132906633359
"Crime",0.738124621735476
"Drama",0.754543403387292
"Fantasy",0.00222586814767969
"Film.Noir",0.195845697467791
"Horror",0.0619991562690904
"Musical",0.159376894299668
"Mystery",0.16375569119337
"Romance",1.60696398737597
"Sci.Fi",0.592606422033981
"Thriller",0.58949296725263
"War",0.0311931791536128
"Western",0.124735781978481
"Actor.1",8.6264073542949
"Actor.2",9.51101584722067
"Actor.3",9.60542074727595
"directors",7.42602000018286
"country",1.47392461798349
